Date,Time,CO,PM 10,NO,NOx,PM 2.5,SO2,NO2,Benzene
3/10/2020,18:00:00,2.6,150,11.9,166,113,13.6,48.9,0.7578
3/10/2020,19:00:00,2,112,9.4,103,92,13.3,47.7,0.7255
3/10/2020,20:00:00,2.2,88,9,131,114,11.9,54,0.7502
3/10/2020,21:00:00,2.2,80,9.2,172,122,11,60,0.7867
3/10/2020,22:00:00,1.6,51,6.5,131,116,11.2,59.6,0.7888
3/10/2020,23:00:00,1.2,38,4.7,89,96,11.2,59.2,0.7848
3/11/2020,0:00:00,1.2,31,3.6,62,77,11.3,56.8,0.7603
3/11/2020,1:00:00,1,31,3.3,62,76,10.7,60,0.7702
3/11/2020,2:00:00,0.9,24,2.3,45,60,10.7,59.7,0.7648
3/11/2020,3:00:00,0.6,19,1.7,-200,-200,10.3,60.2,0.7517
3/11/2020,4:00:00,-200,14,1.3,21,34,10.1,60.5,0.7465
3/11/2020,5:00:00,0.7,8,1.1,16,28,11,56.2,0.7366
3/11/2020,6:00:00,0.7,16,1.6,34,48,10.5,58.1,0.7353
3/11/2020,7:00:00,1.1,29,3.2,98,82,10.2,59.6,0.7417
3/11/2020,8:00:00,2,64,8,174,112,10.8,57.4,0.7408
3/11/2020,9:00:00,2.2,87,9.5,129,101,10.5,60.6,0.7691
3/11/2020,10:00:00,1.7,77,6.3,112,98,10.8,58.4,0.7552
3/11/2020,11:00:00,1.5,43,5,95,92,10.5,57.9,0.7352
3/11/2020,12:00:00,1.6,61,5.2,104,95,9.5,66.8,0.7951
3/11/2020,13:00:00,1.9,63,7.3,146,112,8.3,76.4,0.8393
3/11/2020,14:00:00,2.9,164,11.5,207,128,8,81.1,0.8736
3/11/2020,15:00:00,2.2,79,8.8,184,126,8.3,79.8,0.8778
3/11/2020,16:00:00,2.2,95,8.3,193,131,9.7,71.2,0.8569
3/11/2020,17:00:00,2.9,150,11.2,243,135,9.8,67.6,0.8185
3/11/2020,18:00:00,4.8,307,20.8,281,151,10.3,64.2,0.8065
3/11/2020,19:00:00,6.9,461,27.4,383,172,9.7,69.3,0.8319
3/11/2020,20:00:00,6.1,401,24,351,165,9.6,67.8,0.8133
3/11/2020,21:00:00,3.9,197,12.8,240,136,9.1,64,0.7419
3/11/2020,22:00:00,1.5,61,4.7,94,85,8.2,63.4,0.6905
3/11/2020,23:00:00,1,26,2.6,47,53,8.2,60.8,0.6657
3/12/2020,0:00:00,1.7,55,5.9,122,97,8.3,58.5,0.6438
3/12/2020,1:00:00,1.9,53,6.4,133,110,7.7,59.7,0.6308
3/12/2020,2:00:00,1.4,40,4.1,82,91,7.1,61.8,0.6276
3/12/2020,3:00:00,0.8,21,1.9,-200,-200,7,62.3,0.6261
3/12/2020,4:00:00,-200,10,1.1,21,32,6.1,65.9,0.6248
3/12/2020,5:00:00,0.6,7,1,30,44,6.3,65,0.6233
3/12/2020,6:00:00,0.8,17,1.8,56,71,6.8,62.9,0.6234
3/12/2020,7:00:00,1.4,33,4.4,109,104,6.4,65.1,0.6316
3/12/2020,8:00:00,4.4,202,17.9,307,141,7.3,63.1,0.6499
3/12/2020,9:00:00,-200,-200,22.1,-200,-200,9.2,56.2,0.6561
3/12/2020,10:00:00,3.1,208,14,187,122,13.2,41.7,0.632
3/12/2020,11:00:00,2.7,166,11.6,216,143,14.3,38.4,0.6243
3/12/2020,12:00:00,2.1,114,10.2,143,113,15,36.5,0.6195
3/12/2020,13:00:00,2.5,140,11,160,116,16.1,34.5,0.6262
3/12/2020,14:00:00,2.7,169,12.8,163,123,16.3,35.7,0.656
3/12/2020,15:00:00,2.9,185,14.2,190,126,15.8,37,0.661
3/12/2020,16:00:00,2.8,165,12.7,178,120,15.9,37.2,0.6657
3/12/2020,17:00:00,2.4,133,11.7,150,119,16.9,34.3,0.6549
3/12/2020,18:00:00,3.9,233,19.3,206,149,15.1,39.6,0.6766
3/12/2020,19:00:00,3.7,242,18.2,202,145,14.4,43.4,0.7084
3/12/2020,20:00:00,6.6,488,32.6,340,170,12.9,50.5,0.7478
3/12/2020,21:00:00,4.4,333,20.1,274,149,12.1,53.3,0.7536
3/12/2020,22:00:00,3.5,215,14.3,253,139,11,59.1,0.774
3/12/2020,23:00:00,5.4,367,21.8,300,134,9.7,64.6,0.7771
3/13/2020,0:00:00,2.7,122,9.6,193,113,9.5,64.1,0.7597
3/13/2020,1:00:00,1.9,67,7.4,139,97,9.1,63.9,0.7423
3/13/2020,2:00:00,1.6,43,5.4,83,82,8.8,63.9,0.7256
3/13/2020,3:00:00,1.7,46,5.4,-200,-200,7.8,67.5,0.7173
3/13/2020,4:00:00,-200,56,6.2,109,83,7,71.1,0.7158
3/13/2020,5:00:00,1,30,2.6,62,65,8.3,63.6,0.6982
3/13/2020,6:00:00,1.2,27,2.9,53,60,7.2,67.5,0.6887
3/13/2020,7:00:00,1.5,47,5.1,139,77,6.3,71.9,0.6932
3/13/2020,8:00:00,2.7,132,11.8,256,96,6.5,71.6,0.6945
3/13/2020,9:00:00,3.7,239,15.1,295,119,9.6,59.7,0.7124
3/13/2020,10:00:00,3.2,160,12.9,250,126,12.4,51.2,0.7335
3/13/2020,11:00:00,4.1,283,16.1,296,158,15.6,42.2,0.7451
3/13/2020,12:00:00,3.6,210,14,239,161,18.4,33.8,0.709
3/13/2020,13:00:00,2.8,154,12.3,153,124,19.4,31.3,0.695
3/13/2020,14:00:00,2,112,8.6,118,102,18,34.8,0.7127
3/13/2020,15:00:00,2,108,9.2,119,116,18.4,33.6,0.7042
3/13/2020,16:00:00,2.5,111,10.2,138,124,17.6,35.1,0.7012
3/13/2020,17:00:00,2.3,97,10.6,148,125,16.7,37.8,0.7117
3/13/2020,18:00:00,3.2,191,15.5,227,148,16.1,41,0.7451
3/13/2020,19:00:00,4.2,258,19.6,277,165,15.8,42.4,0.7569
3/13/2020,20:00:00,4.2,284,19.2,279,161,15.7,44.1,0.7786
3/13/2020,21:00:00,4.2,269,18.3,283,159,15.3,46.8,0.8091
3/13/2020,22:00:00,3.1,180,13.1,214,143,14.6,48.6,0.806
3/13/2020,23:00:00,2.6,116,10.9,172,130,14.7,49.3,0.8193
3/14/2020,0:00:00,2.9,93,11,190,129,13.9,53.6,0.8498
3/14/2020,1:00:00,2.8,131,11.9,174,119,14.6,51.5,0.8536
3/14/2020,2:00:00,2.5,92,8.6,128,104,12.5,58.9,0.8537
3/14/2020,3:00:00,2.4,132,9.7,-200,-200,11.6,63.4,0.8674
3/14/2020,4:00:00,-200,56,5.2,70,82,12.1,61.1,0.8603
3/14/2020,5:00:00,1.2,32,3.7,53,70,11.5,63.1,0.8533
3/14/2020,6:00:00,1,29,2.5,44,63,11.6,62.2,0.8473
3/14/2020,7:00:00,0.9,27,2.4,74,67,10.4,67.6,0.853
