date, pm25, pm10, o3, no2, so2, co
2021/4/1, 121, 159, 55, 31, 42, 11
2021/4/2, 150, 222, 55, 31, 36, 13
2021/4/3, 155, 106, 55, 28, 18, 12
2021/4/4, 143, 166, 48, 24, 16, 9
2021/4/5, 96, 200, 44, 24, 13, 13
2021/4/6, 122, 89, 37, 20, 7, 11
2021/4/7, 112, 82, 32, 24, 12, 9
2021/4/8, 116, 171, 46, 32, 21, 14
2021/4/9, 165, 166, 55, 38, 20, 14
2021/4/10, 190, 166, 59, 30, 23, 12
2021/4/11, 146, 125, 63, 28, 16, 12
2021/4/12, 134, 83, 37, 19, 10, 10
2021/4/13, 99, 72, 41, 24, 15, 10
2021/4/14, 112, 87, 37, 32, 27, 11
2021/4/15, 142, 111, 35, 15, 12, 8
2021/4/16, 116, 89, 34, 18, 5, 7
2021/4/17, 95, 98, 43, 20, 11, 9
2021/4/18, 122, 73, 33, 18, 14, 9
2021/4/19, 98, 68, 44, 18, 14, 8
2021/4/20, 120, 107, 37, 18, 15, 10
2021/4/21, 111, 116, 75, 19, 22, 9
2021/4/22, 133, 78, 42, 16, 19, 8
2021/4/23, 117, 92, 73, 20, 20, 8
2021/4/24, 150, 92, 59, 29, 15, 13
2021/4/25, 125, 93, 55, 24, 15, 12
2021/4/26, 130, 112, 44, 18, 20, 4
2021/4/27, 142, 52, 38, 20, 18, 7
2021/4/28, 95, , , , , 
2021/3/1, 134, 136, 42, 38, 10, 9
2021/3/2, 143, 96, 37, 38, 10, 11
2021/3/3, 124, 156, 37, 46, 15, 14
2021/3/4, 160, 189, 42, 40, 12, 18
2021/3/5, 165, 230, 64, 40, 27, 16
2021/3/6, 203, 55, 37, 28, 18, 10
2021/3/7, 151, 148, 32, 41, 22, 13
2021/3/8, 169, 125, 34, 31, 17, 12
2021/3/9, 147, 132, 42, 35, 18, 17
2021/3/10, 143, 181, 41, 37, 24, 13
2021/3/11, 163, 83, 38, 28, 8, 14
2021/3/12, 121, 108, 45, 33, 16, 15
2021/3/13, 137, 138, 37, 28, 13, 10
2021/3/14, 126, 96, 34, 26, 15, 8
2021/3/15, 134, 108, 36, 26, 12, 11
2021/3/16, 128, 100, 38, 27, 11, 8
2021/3/17, 130, 167, 48, 27, 19, 17
2021/3/18, 144, 185, 44, 30, 23, 14
2021/3/19, 173, 292, 55, 47, 30, 18
2021/3/20, 193, 303, 57, 45, 41, 12
2021/3/21, 202, 180, 44, 34, 25, 14
2021/3/22, 162, 143, 53, 28, 29, 8
2021/3/23, 222, 106, 36, 25, 16, 6
2021/3/24, 132, 91, 28, 26, 15, 9
2021/3/25, 111, 118, 35, 33, 10, 9
2021/3/26, 188, 88, 50, 36, 16, 13
2021/3/27, 152, 163, 39, 31, 17, 13
2021/3/28, 152, 97, 44, 17, 8, 9
2021/3/29, 135, 78, 48, 16, 14, 8
2021/3/30, 118, 112, 41, 21, 23, 10
2021/3/31, 153, 100, 41, 27, 28, 9
2021/2/1, 155, 188, 35, 49, 19, 17
2021/2/2, 159, 206, 40, 49, 16, 16
2021/2/3, 159, 188, 31, 41, 17, 10
2021/2/4, 130, 113, 28, 31, 14, 5
2021/2/5, 119, 97, 40, 27, 10, 7
2021/2/6, 126, 72, 34, 26, 9, 6
2021/2/7, 112, 95, 33, 31, 12, 7
2021/2/8, 130, 216, 32, 43, 14, 14
2021/2/9, 152, 162, 36, 49, 8, 15
2021/2/10, 203, 197, 42, 55, 13, 16
2021/2/11, 179, 134, 38, 52, 13, 19
2021/2/12, 155, 184, 54, 52, 11, 18
2021/2/13, 155, 108, 55, 53, 11, 15
2021/2/14, 170, 67, 42, 33, 8, 9
